iter	Logloss	Accuracy
0	0.6073738686	0.8422678626
1	0.5432458874	0.8459635818
2	0.4933150198	0.8594279335
3	0.4563528002	0.8660301817
4	0.4293168177	0.8664151524
5	0.4077961845	0.866578765
6	0.3899843253	0.8668482445
7	0.3764144037	0.8657607022
8	0.3656289852	0.8658184478
9	0.3569146753	0.8674353249
10	0.3497970577	0.8676566831
11	0.3437217986	0.8675508161
12	0.3383811404	0.8733350015
13	0.3163091522	0.884316292
14	0.3105620913	0.8863277641
15	0.2971567853	0.8957402987
16	0.2939088389	0.8963370034
17	0.2884943793	0.8963081306
18	0.2838513388	0.8990991685
19	0.2773467735	0.9029969972
20	0.2734283873	0.9043540191
21	0.2685821344	0.9061537573
22	0.2651106915	0.9073086695
23	0.2608068592	0.9086753157
24	0.2581214036	0.9089640437
25	0.2544854745	0.9096088697
26	0.2513275717	0.9110140129
27	0.2495180689	0.9115144749
28	0.2473890455	0.9117358331
29	0.2453827794	0.9124191561
30	0.2423158467	0.9136799353
31	0.2403185632	0.9148252233
32	0.238715945	0.9150465815
33	0.237283229	0.9151139513
34	0.2357303886	0.9154700493
35	0.234406129	0.9158068987
36	0.2331909721	0.9160282569
37	0.2322199774	0.9163362334
38	0.2292377223	0.9171157992
39	0.2281317175	0.917895365
40	0.2267149149	0.9182225901
41	0.2246666444	0.9186941792
42	0.222565716	0.9189251617
43	0.2207997438	0.9191657684
44	0.2192663302	0.9198972128
45	0.2175782695	0.9203303049
46	0.2168315362	0.9204842932
47	0.2157871814	0.9206382815
48	0.2148239474	0.9209943794
49	0.2137810841	0.921552587
50	0.2122558522	0.9219086849
51	0.2114788484	0.9221685402
52	0.211062399	0.9222744071
53	0.2095766059	0.92309247
54	0.2064074606	0.924026024
55	0.2040343948	0.9248537111
56	0.2031390906	0.9251039421
57	0.20227155	0.9253830459
58	0.2015102584	0.9258257622
59	0.2004082441	0.9266438251
60	0.1989092406	0.9271154142
61	0.198376763	0.927394518
62	0.1975513834	0.9276832461
63	0.1966746239	0.928145211
64	0.1951411983	0.928790037
65	0.1938336568	0.929184632
66	0.193378954	0.9292616261
67	0.1923970297	0.9296754697
68	0.1914770727	0.9301855559
69	0.1908506027	0.9304646597
70	0.1902892058	0.930763012
71	0.18981625	0.9308881275
72	0.189460138	0.9309651217
73	0.1888522395	0.9309939945
74	0.1882710449	0.9310613643
75	0.1879422304	0.9312442254
76	0.1876940502	0.9312923468
77	0.1872582821	0.9314944564
78	0.1867084434	0.9315233292
79	0.1864522237	0.931802433
80	0.1863661066	0.9318601786
81	0.1860369033	0.9318986757
82	0.1857581653	0.9321104096
83	0.1846277994	0.9323221435
84	0.1840629308	0.9325050046
85	0.183769604	0.9327263628
86	0.1832586184	0.9329188482
87	0.1830014551	0.9330150909
88	0.1821252968	0.9334289344
89	0.1817530505	0.9334963043
90	0.1814994744	0.9335732984
91	0.1809590203	0.9339005236
92	0.1806948919	0.9341026332
93	0.1803919133	0.9341892516
94	0.1801183319	0.9342854943
95	0.179415418	0.9344587311
96	0.179048877	0.9345357253
97	0.1787511619	0.9347570835
98	0.1783564113	0.9350458115
99	0.1776139563	0.9354885279
100	0.1773912682	0.9355174007
101	0.1772681799	0.9354500308
102	0.1764819668	0.9357195103
103	0.1761144	0.9359023714
104	0.1755991251	0.9360852325
105	0.1752752409	0.9363258392
106	0.1748889563	0.9365375731
107	0.1742896765	0.9366915614
108	0.1736590995	0.9368263012
109	0.1734753044	0.9369899138
110	0.1731885259	0.9370380351
111	0.1728501319	0.937355636
112	0.1726282271	0.937355636
113	0.1723064965	0.9374518787
114	0.1721974202	0.9375288728
115	0.1720060089	0.9375673699
116	0.1717597227	0.9378176009
117	0.1717583591	0.9378272251
118	0.1714263924	0.9380678318
119	0.1711446594	0.9380678318
120	0.1708179772	0.9383373114
121	0.1703490544	0.9385875423
122	0.170195577	0.9386260394
123	0.169964847	0.9387126578
124	0.1697710279	0.9387800277
125	0.1694477416	0.9388762704
126	0.1689942935	0.9390591315
127	0.168936041	0.9390495072
128	0.168700035	0.9391457499
129	0.1682972599	0.9396654604
130	0.1679595389	0.9397328303
131	0.1677991383	0.9397905759
132	0.167490511	0.9399638128
133	0.1673403351	0.940223668
134	0.167135061	0.9403872806
135	0.1670938668	0.9404546504
136	0.1667885904	0.9404546504
137	0.1665301738	0.9405797659
138	0.1664782386	0.9405701417
139	0.1661382697	0.9406278873
140	0.1659404897	0.9407914998
141	0.1657643222	0.9408299969
142	0.1655438276	0.9409839852
143	0.1653783667	0.9410609794
144	0.1652070336	0.9410994764
145	0.164904672	0.9412053434
146	0.164822582	0.9411860949
147	0.1646596389	0.9413785802
148	0.1646589746	0.9413785802
149	0.1644366744	0.94151332
150	0.1642835523	0.9418116723
151	0.1640466926	0.9419271635
152	0.16404449	0.9419271635
153	0.1640065464	0.9418501694
154	0.1638273403	0.9418597937
155	0.1634341768	0.9420907761
156	0.1632016746	0.9423602556
157	0.1629537559	0.9423987527
158	0.1627707183	0.9424853711
159	0.1625697144	0.9426297351
160	0.1625398154	0.9426586079
161	0.1621269237	0.9428703419
162	0.1620475717	0.942841469
163	0.1618303286	0.9429088389
164	0.1616134566	0.9429569603
165	0.1615602248	0.943053203
166	0.1615602006	0.943053203
167	0.1614324914	0.9430243302
168	0.1613371389	0.9430820758
169	0.1612207681	0.9430724515
170	0.1609877288	0.9432264398
171	0.1609795717	0.9432649369
172	0.160932132	0.9432649369
173	0.1606683096	0.9434189252
174	0.1604910154	0.9434574222
175	0.1603596604	0.9434959193
176	0.1600589838	0.9436114105
177	0.1599613122	0.9436306591
178	0.1598723088	0.9436402833
179	0.1596971277	0.9437750231
180	0.1595173343	0.9438616415
181	0.1593395159	0.9438327687
182	0.1590429205	0.9439675085
183	0.1589219577	0.9439578842
184	0.1587771564	0.9440637512
185	0.1587108993	0.9441503696
186	0.1585144849	0.9443139821
187	0.1583246661	0.9444294734
188	0.1581423696	0.9443909763
189	0.1579099506	0.9444583462
190	0.1579017967	0.9444968432
191	0.1576922433	0.9445642131
192	0.1576078185	0.9446219587
193	0.157515888	0.9446700801
194	0.1574110742	0.9447085771
195	0.1572392138	0.9447278257
196	0.157127574	0.9447085771
197	0.1570309799	0.9446989529
198	0.1570061232	0.9447085771
199	0.1566925976	0.9448336926
200	0.156524643	0.9448914383
201	0.1565231439	0.9449010625
202	0.1563790823	0.9449588081
203	0.1563384262	0.9449491839
204	0.1562451716	0.9449588081
205	0.1560683129	0.9450454265
206	0.1560178405	0.9450646751
207	0.1558613873	0.9451127964
208	0.1557266269	0.9451127964
209	0.1555414129	0.9453052818
210	0.1553716941	0.9454303973
211	0.155332055	0.9454400216
212	0.1552722402	0.9454881429
213	0.1552676264	0.9454881429
214	0.155122202	0.9454688944
215	0.1549531701	0.945565137
216	0.1548518127	0.9456132584
217	0.1547365907	0.9456325069
218	0.1545289201	0.9456806283
219	0.1541621289	0.945776871
220	0.1541183018	0.9457961195
221	0.1540983402	0.9457961195
222	0.1539696772	0.9458634894
223	0.1537530133	0.945921235
224	0.1536366934	0.9461040961
225	0.153173672	0.9460944718
226	0.1530570947	0.9462195873
227	0.1528942572	0.9461233446
228	0.1526921031	0.9461425932
229	0.1525537882	0.946171466
230	0.1523232284	0.9463735756
231	0.1522559834	0.9463928241
232	0.152184022	0.946460194
233	0.152150413	0.9463928241
234	0.152042762	0.9464794426
235	0.1519368074	0.9466526794
236	0.1517460934	0.9467392978
237	0.1516455666	0.9467489221
238	0.1512895902	0.9468355405
239	0.1511460169	0.9468644133
240	0.151117343	0.9469029104
241	0.1511140862	0.9469221589
242	0.1509936064	0.9469702803
243	0.150648203	0.9469895288
244	0.1504910573	0.9469702803
245	0.1503839593	0.9471146443
246	0.1501964961	0.9471820142
247	0.149972404	0.9472301355
248	0.1498129461	0.9472397598
249	0.1497898975	0.9472590083
250	0.1497862757	0.9472782569
251	0.1496813733	0.9474322451
252	0.1496322086	0.9474707422
253	0.1495739965	0.9474226209
254	0.1494953536	0.9475188636
255	0.1494488251	0.9475092393
256	0.1494083888	0.9475092393
257	0.1493362205	0.9475477364
258	0.1493147217	0.9475862334
259	0.1492990879	0.947605482
260	0.1492671223	0.9475573606
261	0.1492225116	0.9475766092
262	0.1491041637	0.9476632276
263	0.1490888509	0.9476728519
264	0.1490572974	0.9476536033
265	0.1489771986	0.9476439791
266	0.1488703021	0.9476247305
267	0.1487576502	0.9476728519
268	0.148688616	0.9477113489
269	0.1485405618	0.947749846
270	0.1485320142	0.9477690945
271	0.1485078038	0.9478172159
272	0.148484321	0.9477690945
273	0.1484679998	0.9477883431
274	0.1484516061	0.9477209732
275	0.1483110198	0.94789421
276	0.1482634803	0.9478749615
277	0.1481748291	0.9478845858
278	0.1481220266	0.94789421
279	0.1480877326	0.9479423314
280	0.1480314402	0.9478653372
281	0.1479044596	0.9478364644
282	0.147863333	0.9478653372
283	0.1477594749	0.9478749615
284	0.1476429752	0.94789421
285	0.1476308907	0.94789421
286	0.1474868445	0.9478845858
287	0.1474217484	0.9479615799
288	0.1473983751	0.9479904527
289	0.1473181375	0.9480193255
290	0.1472034836	0.948144441
291	0.1471467454	0.9481251925
292	0.1471108503	0.9481540653
293	0.1470676688	0.948144441
294	0.1468449834	0.9481733138
295	0.1468054099	0.9481925624
296	0.1467207011	0.9482310594
297	0.1467123	0.9482118109
298	0.1467027109	0.948250308
299	0.1466392667	0.9483465507
300	0.1465162931	0.9484235448
301	0.1465087974	0.9484427933
302	0.1464063123	0.9484716662
303	0.1463482547	0.9485294118
304	0.1462559538	0.9485871574
305	0.1462055899	0.9485679088
306	0.1461129542	0.9486834001
307	0.1461022221	0.9486737758
308	0.1460757013	0.9487603942
309	0.1460072301	0.9487507699
310	0.1459598268	0.9488181398
311	0.1459381212	0.9488373884
312	0.1458837283	0.9488662612
313	0.1458814745	0.9488758854
314	0.1458134212	0.9488470126
315	0.1456924635	0.9488181398
316	0.1456322306	0.9488085156
317	0.1456126983	0.9487796427
318	0.1455814421	0.9487700185
319	0.1455458519	0.9487700185
320	0.1455107812	0.9488373884
321	0.1454740598	0.9488373884
322	0.1454282284	0.9488855097
323	0.145351677	0.9487988913
324	0.1453477602	0.948789267
325	0.1452936538	0.9489047582
326	0.1452903983	0.9489143825
327	0.1451800705	0.9488758854
328	0.1449680761	0.9489625038
329	0.1449154495	0.9490298737
330	0.1448917949	0.9490106252
331	0.1448645451	0.9490106252
332	0.1448400175	0.9490010009
333	0.1447682472	0.949039498
334	0.144722276	0.9490202495
335	0.1446692373	0.9489913767
336	0.1446598034	0.9489721281
337	0.1446219267	0.9490106252
338	0.1445541444	0.9490683708
339	0.1444879703	0.949145365
340	0.1443198506	0.9492319834
341	0.1442783759	0.9492704804
342	0.1442352615	0.9492512319
343	0.1441656092	0.9492127348
344	0.144147914	0.9491742378
345	0.1441190969	0.9492031106
346	0.1440447461	0.9493282261
347	0.1439926038	0.9492704804
348	0.1439805314	0.9492993532
349	0.1439766421	0.9493089775
350	0.143962414	0.9493186018
351	0.1439105628	0.9493282261
352	0.1438946038	0.9493378503
353	0.1438683415	0.9493378503
354	0.1438217482	0.9493378503
355	0.1437922384	0.9493282261
356	0.1437775954	0.9493667231
357	0.1437522142	0.9494244687
358	0.1437277506	0.9493570989
359	0.1436977241	0.9493378503
360	0.1436882985	0.9493186018
361	0.1436487512	0.9493955959
362	0.1436398792	0.9494052202
363	0.1435837241	0.9494629658
364	0.1435384607	0.9494629658
365	0.1435065473	0.9494918386
366	0.1434809023	0.9494725901
367	0.1434506013	0.9494822144
368	0.143336205	0.949434093
369	0.1432223291	0.9495303357
370	0.1431970613	0.94953996
371	0.1431738294	0.94953996
372	0.1431705581	0.94953996
373	0.1430841435	0.9495303357
374	0.1430813406	0.9495207114
375	0.1430715709	0.9495110872
376	0.1430417964	0.9495303357
377	0.1430310148	0.9495495842
378	0.1430067671	0.9495207114
379	0.1429332278	0.9494629658
380	0.1429284405	0.9494437173
381	0.1428925549	0.9495110872
382	0.1428511666	0.9495014629
383	0.1426992771	0.9495688328
384	0.142651343	0.9495880813
385	0.1425509062	0.9496265784
386	0.1424668756	0.9497805667
387	0.1424024466	0.9497805667
388	0.1423725739	0.9497613181
389	0.1423705512	0.9497613181
390	0.1423547014	0.9497228211
391	0.1423270464	0.9497709424
392	0.1423007819	0.9498190638
393	0.1422769383	0.9498190638
394	0.1422738229	0.9498190638
395	0.1422243361	0.9498094395
396	0.1421916579	0.9498190638
397	0.1420855604	0.9497998152
398	0.1420728007	0.9498190638
399	0.1420652785	0.9498190638
400	0.1419640412	0.9498671851
401	0.1419520687	0.9498575608
402	0.1418433507	0.9499441792
403	0.1418205104	0.949934555
404	0.1417748791	0.9499826763
405	0.1417175566	0.9500019249
406	0.1416819545	0.9500500462
407	0.1416166788	0.9500500462
408	0.1415983011	0.9500692947
409	0.1415563863	0.9500307977
410	0.1414422726	0.9500500462
411	0.1414377876	0.9500596705
412	0.1413731003	0.9501077918
413	0.1413653532	0.9501270403
414	0.1413255331	0.9500692947
415	0.1412590683	0.950078919
416	0.1412326249	0.9500981675
417	0.1412254985	0.9500885433
418	0.1412137363	0.950078919
419	0.1411456871	0.9501559132
420	0.1411241978	0.9501655374
421	0.1411025708	0.9501559132
422	0.1410617945	0.9501655374
423	0.1408514551	0.9502521558
424	0.1408304855	0.9502425316
425	0.1406405962	0.9503099014
426	0.1405955436	0.9503195257
427	0.1405910132	0.9503195257
428	0.1405714879	0.9503195257
429	0.1405542932	0.95032915
430	0.1405374324	0.9503483985
431	0.1405125242	0.9503387743
432	0.1404198141	0.9504157684
433	0.1403471244	0.9505023868
434	0.1402915646	0.9505408839
435	0.1402423016	0.950579381
436	0.1402126951	0.9506275023
437	0.140168721	0.9506852479
438	0.1401686766	0.9506852479
439	0.1401183958	0.9508007391
440	0.1400274863	0.9507622421
441	0.1400033782	0.9507911149
442	0.1399468537	0.9508103634
443	0.1399297701	0.9507622421
444	0.1399240028	0.9507526178
445	0.1398477164	0.9508777333
446	0.1397688201	0.9509162304
447	0.1397134019	0.9509354789
448	0.1396766138	0.9509547274
449	0.1396621178	0.9509162304
450	0.1395014624	0.9509354789
451	0.1394954993	0.9509258546
452	0.1394847998	0.9509258546
453	0.1394271269	0.9510317216
454	0.1394094849	0.9510413459
455	0.1393986982	0.9510028488
456	0.1393664376	0.9510124731
457	0.1393650938	0.9510124731
458	0.1393300607	0.9510028488
459	0.1392693129	0.9509836002
460	0.1392531642	0.9509932245
461	0.1392070183	0.9510317216
462	0.1391836768	0.9510317216
463	0.139116502	0.9510702187
464	0.1390912946	0.9510702187
465	0.1390729087	0.9510702187
466	0.1390401949	0.95111834
467	0.1389610198	0.9511953342
468	0.1389146279	0.951224207
469	0.138856214	0.9512434555
