iter	Passed	Remaining
0	130	129950
1	269	134339
2	401	133530
3	524	130677
4	636	126670
5	744	123265
6	871	123587
7	977	121199
8	1086	119590
9	1195	118336
10	1307	117570
11	1422	117159
12	1533	116405
13	1661	116989
14	1778	116797
15	1894	116491
16	2019	116748
17	2131	116274
18	2287	118132
19	2450	120084
20	2573	119986
21	2698	119952
22	2819	119749
23	2943	119696
24	3059	119336
25	3183	119255
26	3291	118633
27	3395	117868
28	3521	117901
29	3644	117835
30	3779	118131
31	3952	119575
32	4104	120266
33	4240	120491
34	4362	120292
35	4474	119822
36	4589	119450
37	4683	118570
38	4814	118646
39	4990	119761
40	5181	121185
41	5399	123152
42	5525	122983
43	5692	123671
44	5848	124121
45	5969	123792
46	6080	123281
47	6208	123139
48	6372	123673
49	6534	124155
50	6663	123993
51	6781	123626
52	6918	123627
53	7049	123502
54	7179	123353
55	7356	124015
56	7504	124149
57	7635	124011
58	7772	123966
59	7900	123779
60	8029	123608
61	8179	123750
62	8311	123622
63	8449	123581
64	8627	124098
65	8807	124640
66	8934	124409
67	9060	124187
68	9236	124627
69	9365	124428
70	9495	124241
71	9625	124061
72	9786	124280
73	9918	124113
74	10050	123957
75	10175	123713
76	10322	123731
77	10450	123527
78	10587	123431
79	10753	123665
80	10871	123346
81	11001	123158
82	11116	122811
83	11241	122589
84	11404	122762
85	11522	122465
86	11652	122285
87	11779	122082
88	11903	121845
89	12031	121649
90	12148	121348
91	12276	121168
92	12429	121219
93	12561	121066
94	12729	121263
95	12855	121055
96	13012	121136
97	13128	120832
98	13306	121103
99	13418	120767
100	13554	120644
101	13679	120436
102	13867	120766
103	13979	120440
104	14118	120340
105	14263	120300
106	14382	120031
107	14493	119705
108	14642	119691
109	14780	119588
110	14924	119529
111	15050	119328
112	15178	119144
113	15305	118951
114	15423	118692
115	15562	118598
116	15684	118372
117	15799	118092
118	15959	118152
119	16080	117926
120	16207	117736
121	16332	117543
122	16460	117361
123	16589	117194
124	16698	116890
125	16815	116644
126	16949	116508
127	17075	116327
128	17202	116150
129	17321	115923
130	17441	115701
131	17572	115552
132	17698	115376
133	17830	115229
134	17946	114988
135	18051	114682
136	18192	114597
137	18313	114390
138	18464	114374
139	18643	114526
140	18776	114390
141	18914	114283
142	19037	114090
143	19173	113978
144	19319	113921
145	19448	113763
146	19550	113447
147	19718	113512
148	19828	113250
149	19964	113134
150	20124	113148
151	20265	113061
152	20397	112916
153	20562	112962
154	20691	112800
155	20847	112788
156	20978	112641
157	21140	112658
158	21268	112496
159	21386	112280
160	21488	111982
161	21593	111699
162	21719	111529
163	21842	111343
164	21998	111326
165	22181	111441
166	22320	111334
167	22459	111228
168	22589	111074
169	22726	110958
170	22916	111099
171	23062	111020
172	23283	111302
173	23415	111157
174	23524	110902
175	23683	110883
176	23814	110728
177	23935	110533
178	24062	110364
179	24196	110229
180	24326	110076
181	24499	110113
182	24650	110050
183	24796	109966
184	24985	110072
185	25129	109975
186	25265	109845
187	25390	109663
188	25505	109442
189	25620	109223
190	25736	109008
191	25853	108801
192	25953	108520
193	26093	108408
194	26239	108322
195	26390	108255
196	26510	108058
197	26615	107804
198	26731	107596
199	26871	107486
200	26979	107246
201	27114	107115
202	27276	107089
203	27389	106871
204	27553	106854
205	27667	106640
206	27789	106458
207	27913	106285
208	28035	106106
209	28212	106133
210	28327	105924
211	28442	105720
212	28591	105639
213	28700	105415
214	28830	105265
215	28979	105185
216	29100	105001
217	29248	104919
218	29366	104726
219	29477	104511
220	29583	104279
221	29711	104125
222	29869	104075
223	29995	103911
224	30146	103836
225	30259	103631
226	30392	103495
227	30512	103312
228	30637	103150
229	30746	102933
230	30872	102773
231	31003	102632
232	31196	102693
233	31350	102627
234	31476	102467
235	31606	102317
236	31741	102190
237	31860	102008
238	31971	101801
239	32102	101657
240	32243	101547
241	32353	101338
242	32473	101163
243	32605	101024
244	32788	101041
245	32947	100986
246	33127	100991
247	33303	100986
248	33418	100791
249	33542	100628
250	33683	100513
251	33819	100383
252	33943	100219
253	34059	100033
254	34187	99880
255	34345	99817
256	34531	99831
257	34646	99643
258	34778	99500
259	34898	99327
260	35015	99142
261	35134	98966
262	35292	98898
263	35417	98739
264	35533	98556
265	35694	98495
266	35818	98332
267	35945	98179
268	36056	97983
269	36179	97819
270	36301	97651
271	36415	97464
272	36531	97282
273	36654	97120
274	36789	96990
275	36930	96875
276	37053	96713
277	37214	96650
278	37376	96588
279	37501	96431
280	37624	96271
281	37750	96117
282	37870	95947
283	37990	95778
284	38132	95664
285	38252	95498
286	38371	95326
287	38525	95242
288	38644	95072
289	38761	94899
290	38917	94819
291	39033	94643
292	39188	94560
293	39314	94407
294	39439	94253
295	39560	94088
296	39671	93902
297	39798	93753
298	39913	93575
299	40075	93508
300	40198	93351
301	40321	93192
302	40435	93014
303	40590	92929
304	40718	92783
305	40873	92701
306	40993	92536
307	41109	92362
308	41221	92181
309	41342	92021
310	41455	91842
311	41571	91671
312	41694	91515
313	41842	91414
314	41964	91256
315	42138	91211
316	42259	91050
317	42389	90911
318	42511	90752
319	42634	90597
320	42771	90472
321	42887	90302
322	43016	90161
323	43135	89999
324	43269	89867
325	43392	89714
326	43516	89560
327	43660	89451
328	43804	89338
329	43938	89208
330	44058	89048
331	44182	88897
332	44358	88850
333	44526	88786
334	44687	88707
335	44804	88542
336	44930	88394
337	45056	88247
338	45228	88189
339	45346	88024
340	45483	87898
341	45601	87736
342	45722	87579
343	45846	87428
344	45985	87305
345	46129	87191
346	46249	87034
347	46370	86878
348	46478	86697
349	46591	86527
350	46704	86357
351	46839	86227
352	46937	86029
353	47058	85875
354	47183	85727
355	47302	85570
356	47422	85413
357	47552	85275
358	47736	85234
359	47848	85064
360	47986	84939
361	48137	84839
362	48258	84684
363	48381	84534
364	48499	84375
365	48627	84233
366	48794	84161
367	48917	84011
368	49045	83869
369	49172	83726
370	49292	83571
371	49424	83437
372	49548	83289
373	49665	83130
374	49794	82991
375	49911	82832
376	50055	82717
377	50172	82558
378	50360	82516
379	50482	82366
380	50599	82207
381	50726	82065
382	50832	81890
383	50952	81736
384	51068	81577
385	51201	81445
386	51318	81287
387	51461	81171
388	51588	81030
389	51698	80862
390	51808	80693
391	51935	80553
392	52067	80419
393	52209	80302
394	52354	80188
395	52488	80058
396	52598	79890
397	52767	79813
398	52888	79663
399	52992	79488
400	53123	79353
401	53239	79197
402	53414	79127
403	53536	78980
404	53652	78822
405	53766	78663
406	53897	78529
407	54018	78379
408	54196	78313
409	54306	78148
410	54434	78009
411	54563	77872
412	54679	77716
413	54801	77569
414	54914	77409
415	55043	77272
416	55182	77149
417	55307	77007
418	55411	76835
419	55532	76687
420	55641	76523
421	55755	76366
422	55881	76225
423	56007	76085
424	56176	76003
425	56346	75922
426	56468	75776
427	56587	75625
428	56734	75513
429	56846	75355
430	56977	75220
431	57097	75073
432	57211	74917
433	57324	74760
434	57456	74627
435	57591	74498
436	57717	74358
437	57838	74213
438	57971	74081
439	58087	73929
440	58220	73798
441	58352	73667
442	58472	73519
443	58596	73377
444	58712	73225
445	58876	73133
446	58989	72978
447	59160	72894
448	59279	72746
449	59403	72604
450	59527	72462
451	59663	72335
452	59789	72195
453	59902	72040
454	60038	71913
455	60203	71821
456	60324	71676
457	60447	71534
458	60573	71395
459	60690	71245
460	60815	71105
461	60936	70960
462	61047	70804
463	61162	70653
464	61305	70534
465	61436	70400
466	61563	70264
467	61688	70124
468	61826	69999
469	61947	69855
470	62068	69712
471	62228	69611
472	62351	69469
473	62478	69332
474	62615	69206
475	62735	69061
476	62874	68937
477	63013	68813
478	63142	68678
479	63283	68557
480	63438	68450
481	63557	68304
482	63675	68157
483	63794	68012
484	63903	67856
485	64034	67723
486	64151	67576
487	64271	67432
488	64391	67288
489	64506	67139
490	64635	67004
491	64755	66861
492	64870	66712
493	64991	66570
494	65106	66421
495	65234	66287
496	65380	66169
497	65534	66060
498	65661	65925
499	65780	65780
500	65898	65635
501	66083	65557
502	66233	65443
503	66346	65293
504	66466	65150
505	66586	65007
506	66736	64893
507	66849	64744
508	66985	64616
509	67096	64465
510	67228	64333
511	67347	64190
512	67461	64042
513	67577	63896
514	67693	63750
515	67820	63614
516	67943	63475
517	68078	63347
518	68207	63213
519	68322	63067
520	68491	62970
521	68639	62854
522	68761	62713
523	68900	62588
524	69063	62486
525	69195	62354
526	69309	62207
527	69446	62081
528	69573	61945
529	69700	61809
530	69824	61671
531	69958	61542
532	70133	61449
533	70277	61328
534	70424	61209
535	70548	61071
536	70666	60928
537	70822	60818
538	70945	60679
539	71061	60534
540	71183	60394
541	71307	60256
542	71420	60108
543	71567	59990
544	71690	59851
545	71810	59710
546	71928	59568
547	72055	59432
548	72176	59292
549	72288	59145
550	72416	59011
551	72545	58877
552	72666	58737
553	72792	58601
554	72915	58463
555	73046	58332
556	73206	58223
557	73324	58081
558	73458	57952
559	73592	57822
560	73723	57690
561	73834	57543
562	73944	57395
563	74056	57249
564	74176	57108
565	74306	56976
566	74453	56857
567	74611	56746
568	74721	56599
569	74874	56484
570	75006	56353
571	75135	56220
572	75253	56078
573	75374	55939
574	75491	55797
575	75608	55656
576	75733	55520
577	75886	55404
578	76002	55262
579	76125	55125
580	76259	54995
581	76381	54858
582	76493	54713
583	76604	54567
584	76722	54426
585	76853	54295
586	77008	54181
587	77128	54042
588	77251	53905
589	77375	53769
590	77523	53650
591	77667	53527
592	77770	53376
593	77890	53238
594	78073	53142
595	78180	52995
596	78301	52857
597	78416	52714
598	78537	52576
599	78714	52476
600	78859	52354
601	78973	52211
602	79094	52074
603	79215	51936
604	79328	51793
605	79449	51655
606	79588	51529
607	79725	51401
608	79843	51262
609	79973	51130
610	80106	51000
611	80233	50867
612	80363	50735
613	80504	50610
614	80638	50480
615	80760	50344
616	80886	50209
617	81006	50071
618	81130	49936
619	81255	49801
620	81369	49660
621	81488	49522
622	81603	49381
623	81730	49247
624	81844	49106
625	81969	48972
626	82107	48845
627	82250	48721
628	82378	48588
629	82501	48453
630	82664	48340
631	82807	48217
632	82953	48094
633	83073	47957
634	83228	47840
635	83347	47702
636	83473	47567
637	83655	47465
638	83772	47327
639	83917	47203
640	84055	47076
641	84187	46945
642	84314	46812
643	84411	46662
644	84558	46539
645	84668	46397
646	84823	46279
647	84932	46135
648	85035	45989
649	85197	45875
650	85340	45751
651	85455	45611
652	85613	45494
653	85729	45355
654	85894	45242
655	86015	45105
656	86149	44976
657	86317	44864
658	86457	44737
659	86578	44601
660	86740	44485
661	86876	44356
662	87002	44223
663	87134	44092
664	87260	43958
665	87413	43838
666	87583	43726
667	87706	43590
668	87852	43466
669	87978	43332
670	88104	43198
671	88227	43063
672	88353	42929
673	88482	42797
674	88597	42657
675	88708	42517
676	88830	42381
677	88956	42247
678	89114	42129
679	89237	41994
680	89336	41847
681	89445	41706
682	89601	41586
683	89735	41456
684	89868	41326
685	89985	41188
686	90108	41053
687	90297	40949
688	90425	40815
689	90591	40700
690	90715	40565
691	90831	40428
692	90960	40295
693	91097	40167
694	91222	40032
695	91347	39898
696	91458	39758
697	91577	39622
698	91679	39478
699	91819	39351
700	91950	39219
701	92071	39084
702	92205	38954
703	92318	38815
704	92434	38678
705	92556	38543
706	92735	38432
707	92862	38299
708	93024	38180
709	93154	38048
710	93274	37913
711	93397	37778
712	93529	37647
713	93648	37511
714	93762	37373
715	93889	37240
716	94000	37101
717	94130	36970
718	94263	36839
719	94389	36706
720	94503	36569
721	94630	36436
722	94754	36302
723	94880	36169
724	95022	36042
725	95170	35918
726	95314	35792
727	95435	35657
728	95589	35534
729	95736	35409
730	95877	35281
731	96054	35167
732	96225	35050
733	96337	34912
734	96445	34772
735	96558	34634
736	96672	34497
737	96853	34384
738	97004	34259
739	97136	34129
740	97265	33996
741	97375	33858
742	97504	33726
743	97621	33590
744	97763	33462
745	97881	33327
746	97993	33189
747	98124	33057
748	98234	32919
749	98351	32783
750	98492	32655
751	98625	32525
752	98783	32403
753	98901	32267
754	99026	32134
755	99153	32002
756	99271	31866
757	99413	31738
758	99547	31608
759	99664	31473
760	99787	31339
761	99931	31212
762	100096	31091
763	100230	30961
764	100353	30827
765	100511	30704
766	100636	30571
767	100771	30441
768	100883	30304
769	100999	30168
770	101110	30031
771	101228	29896
772	101341	29760
773	101440	29619
774	101552	29483
775	101689	29353
776	101846	29230
777	101951	29091
778	102052	28951
779	102164	28815
780	102300	28686
781	102429	28554
782	102555	28422
783	102665	28285
784	102780	28149
785	102912	28019
786	103021	27882
787	103140	27748
788	103256	27613
789	103361	27475
790	103453	27334
791	103572	27200
792	103677	27063
793	103790	26928
794	103902	26792
795	104019	26658
796	104131	26522
797	104262	26392
798	104359	26253
799	104478	26119
800	104600	25986
801	104715	25852
802	104819	25715
803	104973	25590
804	105095	25457
805	105208	25323
806	105331	25190
807	105438	25054
808	105578	24926
809	105724	24799
810	105850	24668
811	105989	24539
812	106097	24403
813	106213	24269
814	106365	24144
815	106491	24012
816	106609	23879
817	106725	23745
818	106855	23615
819	106965	23480
820	107078	23346
821	107191	23211
822	107318	23080
823	107421	22944
824	107536	22810
825	107651	22677
826	107760	22542
827	107918	22417
828	108037	22285
829	108180	22157
830	108293	22023
831	108429	21894
832	108539	21760
833	108653	21626
834	108770	21493
835	108869	21357
836	108984	21223
837	109089	21088
838	109246	20963
839	109356	20829
840	109474	20697
841	109591	20564
842	109734	20436
843	109844	20302
844	109961	20170
845	110118	20045
846	110234	19912
847	110358	19781
848	110460	19646
849	110573	19513
850	110687	19380
851	110796	19246
852	110914	19114
853	111025	18980
854	111130	18846
855	111266	18717
856	111382	18585
857	111512	18455
858	111623	18322
859	111744	18191
860	111865	18059
861	112003	17931
862	112115	17798
863	112215	17663
864	112322	17530
865	112440	17398
866	112556	17266
867	112674	17134
868	112796	17003
869	112910	16871
870	113026	16739
871	113137	16607
872	113247	16474
873	113360	16342
874	113473	16210
875	113587	16078
876	113728	15950
877	113842	15818
878	113966	15688
879	114089	15557
880	114202	15425
881	114316	15293
882	114431	15162
883	114541	15030
884	114717	14906
885	114883	14781
886	114998	14650
887	115100	14517
888	115266	14392
889	115375	14259
890	115482	14127
891	115586	13994
892	115719	13865
893	115834	13734
894	115940	13602
895	116048	13469
896	116160	13338
897	116276	13207
898	116387	13075
899	116548	12949
900	116660	12818
901	116768	12686
902	116882	12555
903	116988	12423
904	117097	12292
905	117221	12162
906	117339	12031
907	117449	11900
908	117588	11771
909	117736	11644
910	117855	11513
911	117963	11382
912	118101	11253
913	118212	11122
914	118316	10991
915	118463	10863
916	118564	10731
917	118668	10599
918	118800	10470
919	118970	10345
920	119083	10214
921	119201	10084
922	119315	9953
923	119420	9822
924	119541	9692
925	119663	9562
926	119771	9431
927	119875	9300
928	120005	9171
929	120179	9045
930	120297	8915
931	120420	8786
932	120535	8655
933	120664	8526
934	120781	8396
935	120912	8267
936	121070	8140
937	121195	8010
938	121308	7880
939	121428	7750
940	121603	7624
941	121770	7497
942	121903	7368
943	122033	7239
944	122165	7110
945	122328	6982
946	122445	6852
947	122589	6724
948	122693	6593
949	122817	6464
950	122958	6335
951	123086	6206
952	123211	6076
953	123334	5946
954	123457	5817
955	123577	5687
956	123688	5557
957	123808	5427
958	123955	5299
959	124097	5170
960	124217	5041
961	124350	4911
962	124543	4785
963	124682	4656
964	124809	4526
965	124934	4397
966	125072	4268
967	125226	4139
968	125365	4010
969	125496	3881
970	125623	3751
971	125743	3622
972	125886	3493
973	126014	3363
974	126177	3235
975	126301	3105
976	126422	2976
977	126597	2847
978	126747	2718
979	126918	2590
980	127082	2461
981	127207	2331
982	127330	2202
983	127496	2073
984	127615	1943
985	127727	1813
986	127837	1683
987	127955	1554
988	128064	1424
989	128205	1295
990	128324	1165
991	128437	1035
992	128541	906
993	128654	776
994	128827	647
995	128939	517
996	129076	388
997	129208	258
998	129323	129
999	129453	0
